Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Conf,Observe,Days,Price,BS_L,TFARCH,TFBS,BS_U,ARCH_L,ARCH_U
2021-09-17,0,2021,9,17,Friday,329180,HD현대중공업,111000.0,135000.0,91000.0,111500.0,False,,,,,,,,,,
2021-09-20,1,2021,9,20,Monday,329180,HD현대중공업,112000.0,113000.0,99000.0,99100.0,False,,,,,,,,,,
2021-09-21,2,2021,9,21,Tuesday,329180,HD현대중공업,112000.0,113000.0,99000.0,99100.0,False,,,,,,,,,,
2021-09-22,3,2021,9,22,Wednesday,329180,HD현대중공업,112000.0,113000.0,99000.0,99100.0,False,,,,,,,,,,
2021-09-23,4,2021,9,23,Thursday,329180,HD현대중공업,112000.0,113000.0,99000.0,99100.0,False,,,,,,,,,,
2021-09-24,5,2021,9,24,Friday,329180,HD현대중공업,100000.0,102000.0,95500.0,99200.0,False,,,,,,,,,,
2021-09-27,6,2021,9,27,Monday,329180,HD현대중공업,98300.0,99400.0,96500.0,97000.0,False,,,,,,,,,,
2021-09-28,7,2021,9,28,Tuesday,329180,HD현대중공업,98000.0,103000.0,97000.0,100000.0,False,,,,,,,,,,
2021-09-29,8,2021,9,29,Wednesday,329180,HD현대중공업,98300.0,108000.0,98000.0,107500.0,False,,,,,,,,,,
2021-09-30,9,2021,9,30,Thursday,329180,HD현대중공업,107500.0,117000.0,106000.0,115500.0,False,,,,,,,,,,
2021-10-01,10,2021,10,1,Friday,329180,HD현대중공업,114500.0,119500.0,109000.0,113500.0,False,,,,,,,,,,
2021-10-04,11,2021,10,4,Monday,329180,HD현대중공업,111500.0,112500.0,104500.0,104500.0,False,,,,,,,,,,
2021-10-05,12,2021,10,5,Tuesday,329180,HD현대중공업,111500.0,112500.0,104500.0,104500.0,False,,,,,,,,,,
2021-10-06,13,2021,10,6,Wednesday,329180,HD현대중공업,107000.0,111500.0,105500.0,107000.0,False,,,,,,,,,,
2021-10-07,14,2021,10,7,Thursday,329180,HD현대중공업,109000.0,112000.0,107000.0,109500.0,False,,,,,,,,,,
2021-10-08,15,2021,10,8,Friday,329180,HD현대중공업,109500.0,110000.0,103000.0,104500.0,False,,,,,,,,,,
2021-10-11,16,2021,10,11,Monday,329180,HD현대중공업,104000.0,106000.0,100500.0,101000.0,False,,,,,,,,,,
2021-10-12,17,2021,10,12,Tuesday,329180,HD현대중공업,104000.0,106000.0,100500.0,101000.0,False,,,,,,,,,,
2021-10-13,18,2021,10,13,Wednesday,329180,HD현대중공업,101500.0,103000.0,99800.0,102000.0,False,,,,,,,,,,
2021-10-14,19,2021,10,14,Thursday,329180,HD현대중공업,103000.0,103000.0,100000.0,102000.0,False,,,,,,,,,,
2021-10-15,20,2021,10,15,Friday,329180,HD현대중공업,104500.0,107000.0,103500.0,105000.0,False,,,,,,,,,,
2021-10-18,21,2021,10,18,Monday,329180,HD현대중공업,103000.0,104000.0,100000.0,101500.0,False,,,,,,,,,,
2021-10-19,22,2021,10,19,Tuesday,329180,HD현대중공업,102500.0,103000.0,100000.0,101500.0,False,,,,,,,,,,
2021-10-20,23,2021,10,20,Wednesday,329180,HD현대중공업,101500.0,102500.0,100000.0,100500.0,False,,,,,,,,,,
2021-10-21,24,2021,10,21,Thursday,329180,HD현대중공업,100500.0,102500.0,100000.0,100500.0,False,,,,,,,,,,
2021-10-22,25,2021,10,22,Friday,329180,HD현대중공업,101000.0,101500.0,100000.0,101000.0,False,,,,,,,,,,
2021-10-25,26,2021,10,25,Monday,329180,HD현대중공업,100500.0,106500.0,100000.0,106000.0,False,,,,,,,,,,
2021-10-26,27,2021,10,26,Tuesday,329180,HD현대중공업,106500.0,109500.0,104000.0,108500.0,False,,,,,,,,,,
2021-10-27,28,2021,10,27,Wednesday,329180,HD현대중공업,108500.0,116500.0,108000.0,113500.0,False,,,,,,,,,,
2021-10-28,29,2021,10,28,Thursday,329180,HD현대중공업,114500.0,118000.0,111000.0,112000.0,False,,,,,,,,,,
2021-10-29,30,2021,10,29,Friday,329180,HD현대중공업,113500.0,119000.0,113000.0,117000.0,False,,,,,,,,,,
