Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Observe,Days,Price,TFARCH,TFBS,BS_L,BS_U,ARCH_L,ARCH_U
2018-01-02,0,2018,1,2,Tuesday,128940,한미약품,524895.0,532944.0,518636.0,529369.0,False,,,,,,,,,
2018-01-03,1,2018,1,3,Wednesday,128940,한미약품,529367.0,545463.0,524895.0,541889.0,False,,,,,,,,,
2018-01-04,2,2018,1,4,Thursday,128940,한미약품,543675.0,546358.0,519533.0,524004.0,False,,,,,,,,,
2018-01-05,3,2018,1,5,Friday,128940,한미약품,526682.0,536519.0,523106.0,534734.0,False,,,,,,,,,
2018-01-08,4,2018,1,8,Monday,128940,한미약품,540099.0,545462.0,530261.0,535629.0,False,,,,,,,,,
2018-01-09,5,2018,1,9,Tuesday,128940,한미약품,536518.0,542778.0,518634.0,524897.0,False,,,,,,,,,
2018-01-10,6,2018,1,10,Wednesday,128940,한미약품,526683.0,534731.0,516848.0,526686.0,False,,,,,,,,,
2018-01-11,7,2018,1,11,Thursday,128940,한미약품,523105.0,529365.0,519530.0,523109.0,False,,,,,,,,,
2018-01-12,8,2018,1,12,Friday,128940,한미약품,524000.0,563344.0,524000.0,554406.0,False,,,,,,,,,
2018-01-15,9,2018,1,15,Monday,128940,한미약품,559768.0,563345.0,540990.0,552618.0,False,,,,,,,,,
2018-01-16,10,2018,1,16,Tuesday,128940,한미약품,552616.0,554404.0,532049.0,541889.0,False,,,,,,,,,
2018-01-17,11,2018,1,17,Wednesday,128940,한미약품,541886.0,543674.0,524894.0,526686.0,False,,,,,,,,,
2018-01-18,12,2018,1,18,Thursday,128940,한미약품,531156.0,533838.0,524003.0,528476.0,False,,,,,,,,,
2018-01-19,13,2018,1,19,Friday,128940,한미약품,525788.0,531154.0,507010.0,509696.0,False,,,,,,,,,
2018-01-22,14,2018,1,22,Monday,128940,한미약품,504328.0,510589.0,494493.0,500755.0,False,,,,,,,,,
2018-01-23,15,2018,1,23,Tuesday,128940,한미약품,507905.0,525790.0,502539.0,525792.0,False,,,,,,,,,
2018-01-24,16,2018,1,24,Wednesday,128940,한미약품,523107.0,532049.0,519533.0,522216.0,False,,,,,,,,,
2018-01-25,17,2018,1,25,Thursday,128940,한미약품,519530.0,529365.0,519530.0,523109.0,False,,,,,,,,,
2018-01-26,18,2018,1,26,Friday,128940,한미약품,520422.0,536518.0,516846.0,532051.0,False,,,,,,,,,
2018-01-29,19,2018,1,29,Monday,128940,한미약품,535626.0,538310.0,520425.0,529369.0,False,,,,,,,,,
2018-01-30,20,2018,1,30,Tuesday,128940,한미약품,536520.0,554404.0,534732.0,542783.0,False,,,,,,,,,
2018-01-31,21,2018,1,31,Wednesday,128940,한미약품,537414.0,542780.0,518635.0,533840.0,False,,,,,,,,,
2018-02-01,22,2018,2,1,Thursday,128940,한미약품,530259.0,532046.0,508798.0,508802.0,False,,,,,,,,,
2018-02-02,23,2018,2,2,Friday,128940,한미약품,509692.0,513269.0,500751.0,503437.0,False,,,,,,,,,
2018-02-05,24,2018,2,5,Monday,128940,한미약품,498962.0,510588.0,463194.0,465880.0,False,,,,,,,,,
2018-02-06,25,2018,2,6,Tuesday,128940,한미약품,460513.0,507012.0,453359.0,495390.0,False,,,,,,,,,
2018-02-07,26,2018,2,7,Wednesday,128940,한미약품,514167.0,515954.0,487340.0,487342.0,False,,,,,,,,,
2018-02-08,27,2018,2,8,Thursday,128940,한미약품,487337.0,500750.0,483760.0,489129.0,False,,,,,,,,,
2018-02-09,28,2018,2,9,Friday,128940,한미약품,473927.0,483762.0,469456.0,479293.0,False,,,,,,,,,
2018-02-12,29,2018,2,12,Monday,128940,한미약품,484655.0,485550.0,470348.0,473034.0,False,,,,,,,,,
2018-02-13,30,2018,2,13,Tuesday,128940,한미약품,478397.0,484656.0,471245.0,481082.0,False,,,,,,,,,
2018-02-14,31,2018,2,14,Wednesday,128940,한미약품,481078.0,487338.0,477500.0,483764.0,False,,,,,,,,,
2018-02-15,32,2018,2,15,Thursday,128940,한미약품,440840.0,454253.0,425638.0,442631.0,False,,,,,,,,,
2018-02-16,33,2018,2,16,Friday,128940,한미약품,440840.0,454253.0,425638.0,442631.0,False,,,,,,,,,
2018-02-19,34,2018,2,19,Monday,128940,한미약품,440840.0,454253.0,425638.0,442631.0,False,,,,,,,,,
2018-02-20,35,2018,2,20,Tuesday,128940,한미약품,445758.0,462302.0,443523.0,445314.0,False,,,,,,,,,
2018-02-21,36,2018,2,21,Wednesday,128940,한미약품,447993.0,450677.0,440840.0,442631.0,False,,,,,,,,,
2018-02-22,37,2018,2,22,Thursday,128940,한미약품,442628.0,443074.0,433685.0,433688.0,False,,,,,,,,,
2018-02-23,38,2018,2,23,Friday,128940,한미약품,432791.0,437261.0,430555.0,434582.0,False,,,,,,,,,
2018-02-26,39,2018,2,26,Monday,128940,한미약품,435027.0,443074.0,433685.0,433688.0,False,,,,,,,,,
2018-02-27,40,2018,2,27,Tuesday,128940,한미약품,435475.0,440394.0,433239.0,438160.0,False,,,,,,,,,
2018-02-28,41,2018,2,28,Wednesday,128940,한미약품,433687.0,435029.0,413120.0,414017.0,False,,,,,,,,,
2018-03-01,42,2018,3,1,Thursday,128940,한미약품,407753.0,413565.0,401940.0,407309.0,False,,,,,,,,,
2018-03-02,43,2018,3,2,Friday,128940,한미약품,407753.0,413565.0,401940.0,407309.0,False,,,,,,,,,
2018-03-05,44,2018,3,5,Monday,128940,한미약품,407306.0,414013.0,402387.0,407309.0,False,,,,,,,,,
2018-03-06,45,2018,3,6,Tuesday,128940,한미약품,413119.0,429663.0,409991.0,428324.0,False,,,,,,,,,
2018-03-07,46,2018,3,7,Wednesday,128940,한미약품,426084.0,428321.0,418484.0,422064.0,False,,,,,,,,,
2018-03-08,47,2018,3,8,Thursday,128940,한미약품,424744.0,427427.0,416250.0,421617.0,False,,,,,,,,,
2018-03-09,48,2018,3,9,Friday,128940,한미약품,423404.0,435029.0,420273.0,428324.0,False,,,,,,,,,
