Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Observe,Days,Price,TFARCH,TFBS,BS_L,BS_U,ARCH_L,ARCH_U
2018-01-02,0,2018,1,2,Tuesday,010620,HD현대미포,39956.0,43966.0,39956.0,43115.0,False,,,,,,,,,
2018-01-03,1,2018,1,3,Wednesday,010620,HD현대미포,43114.0,45621.0,42613.0,44619.0,False,,,,,,,,,
2018-01-04,2,2018,1,4,Thursday,010620,HD현대미포,45320.0,46924.0,44969.0,45722.0,False,,,,,,,,,
2018-01-05,3,2018,1,5,Friday,010620,HD현대미포,46473.0,46824.0,44618.0,45120.0,False,,,,,,,,,
2018-01-08,4,2018,1,8,Monday,010620,HD현대미포,45370.0,47927.0,45370.0,47577.0,False,,,,,,,,,
2018-01-09,5,2018,1,9,Tuesday,010620,HD현대미포,47576.0,48128.0,47125.0,47927.0,False,,,,,,,,,
2018-01-10,6,2018,1,10,Wednesday,010620,HD현대미포,48428.0,51386.0,48428.0,50635.0,False,,,,,,,,,
2018-01-11,7,2018,1,11,Thursday,010620,HD현대미포,51136.0,51386.0,49481.0,49732.0,False,,,,,,,,,
2018-01-12,8,2018,1,12,Friday,010620,HD현대미포,50634.0,52640.0,50634.0,51387.0,False,,,,,,,,,
2018-01-15,9,2018,1,15,Monday,010620,HD현대미포,52639.0,53642.0,52138.0,52640.0,False,,,,,,,,,
2018-01-16,10,2018,1,16,Tuesday,010620,HD현대미포,52138.0,53391.0,51386.0,52389.0,False,,,,,,,,,
2018-01-17,11,2018,1,17,Wednesday,010620,HD현대미포,52389.0,52640.0,50885.0,51888.0,False,,,,,,,,,
2018-01-18,12,2018,1,18,Thursday,010620,HD현대미포,51637.0,52389.0,50133.0,50885.0,False,,,,,,,,,
2018-01-19,13,2018,1,19,Friday,010620,HD현대미포,51135.0,52640.0,50384.0,51888.0,False,,,,,,,,,
2018-01-22,14,2018,1,22,Monday,010620,HD현대미포,52640.0,52890.0,51136.0,51387.0,False,,,,,,,,,
2018-01-23,15,2018,1,23,Tuesday,010620,HD현대미포,51637.0,54394.0,51386.0,53893.0,False,,,,,,,,,
2018-01-24,16,2018,1,24,Wednesday,010620,HD현대미포,53141.0,55397.0,52890.0,55147.0,False,,,,,,,,,
2018-01-25,17,2018,1,25,Thursday,010620,HD현대미포,55146.0,57653.0,54394.0,55397.0,False,,,,,,,,,
2018-01-26,18,2018,1,26,Friday,010620,HD현대미포,55648.0,56650.0,54645.0,55899.0,False,,,,,,,,,
