Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Conf,Observe,Days,Price,BS_L,TFARCH,TFBS,BS_U,ARCH_L,ARCH_U
2024-05-08,0,2024,5,8,Wednesday,443060,HD현대마린솔루션,119900.0,166100.0,111500.0,163900.0,False,0.99,,,,,,,,,
2024-05-09,1,2024,5,9,Thursday,443060,HD현대마린솔루션,170200.0,195000.0,152300.0,152300.0,False,0.99,,,,,,,,,
2024-05-10,2,2024,5,10,Friday,443060,HD현대마린솔루션,152100.0,180600.0,145600.0,180600.0,False,0.99,,,,,,,,,
2024-05-13,3,2024,5,13,Monday,443060,HD현대마린솔루션,180600.0,199200.0,175400.0,193400.0,False,0.99,,,,,,,,,
2024-05-14,4,2024,5,14,Tuesday,443060,HD현대마린솔루션,192400.0,207500.0,185400.0,205500.0,False,0.99,,,,,,,,,
2024-05-15,5,2024,5,15,Wednesday,443060,HD현대마린솔루션,202000.0,205500.0,193800.0,198600.0,False,0.99,,,,,,,,,
2024-05-16,6,2024,5,16,Thursday,443060,HD현대마린솔루션,202000.0,205500.0,193800.0,198600.0,False,0.99,,,,,,,,,
2024-05-17,7,2024,5,17,Friday,443060,HD현대마린솔루션,197400.0,201000.0,190200.0,196300.0,False,0.99,,,,,,,,,
2024-05-20,8,2024,5,20,Monday,443060,HD현대마린솔루션,194100.0,196300.0,164600.0,165000.0,False,0.99,,,,,,,,,
2024-05-21,9,2024,5,21,Tuesday,443060,HD현대마린솔루션,165600.0,173100.0,155400.0,166000.0,False,0.99,,,,,,,,,
2024-05-22,10,2024,5,22,Wednesday,443060,HD현대마린솔루션,164100.0,169900.0,159000.0,160100.0,False,0.99,,,,,,,,,
2024-05-23,11,2024,5,23,Thursday,443060,HD현대마린솔루션,159000.0,159900.0,148500.0,149700.0,False,0.99,,,,,,,,,
2024-05-24,12,2024,5,24,Friday,443060,HD현대마린솔루션,147700.0,157600.0,147500.0,148500.0,False,0.99,,,,,,,,,
2024-05-27,13,2024,5,27,Monday,443060,HD현대마린솔루션,150200.0,152700.0,135300.0,137000.0,False,0.99,,,,,,,,,
2024-05-28,14,2024,5,28,Tuesday,443060,HD현대마린솔루션,136800.0,141500.0,132100.0,134300.0,False,0.99,,,,,,,,,
2024-05-29,15,2024,5,29,Wednesday,443060,HD현대마린솔루션,134000.0,134900.0,126000.0,126200.0,False,0.99,,,,,,,,,
2024-05-30,16,2024,5,30,Thursday,443060,HD현대마린솔루션,125900.0,142000.0,125000.0,130400.0,False,0.99,,,,,,,,,
2024-05-31,17,2024,5,31,Friday,443060,HD현대마린솔루션,131400.0,135600.0,127200.0,131000.0,False,0.99,,,,,,,,,
2024-06-03,18,2024,6,3,Monday,443060,HD현대마린솔루션,133500.0,136700.0,131300.0,132000.0,False,0.99,,,,,,,,,
