Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Conf,Observe,Days,Price,BS_L,TFARCH,TFBS,BS_U,ARCH_L,ARCH_U
2022-01-27,0,2022,1,27,Thursday,373220,LG에너지솔루션,597000.0,598000.0,450000.0,505000.0,False,,,,,,,,,,
2022-01-28,1,2022,1,28,Friday,373220,LG에너지솔루션,476000.0,483000.0,445000.0,450000.0,False,,,,,,,,,,
2022-01-31,2,2022,1,31,Monday,373220,LG에너지솔루션,458000.0,495500.0,441000.0,477000.0,False,,,,,,,,,,
2022-02-01,3,2022,2,1,Tuesday,373220,LG에너지솔루션,458000.0,495500.0,441000.0,477000.0,False,,,,,,,,,,
2022-02-02,4,2022,2,2,Wednesday,373220,LG에너지솔루션,458000.0,495500.0,441000.0,477000.0,False,,,,,,,,,,
2022-02-03,5,2022,2,3,Thursday,373220,LG에너지솔루션,458000.0,495500.0,441000.0,477000.0,False,,,,,,,,,,
2022-02-04,6,2022,2,4,Friday,373220,LG에너지솔루션,476500.0,505000.0,476000.0,504000.0,False,,,,,,,,,,
2022-02-07,7,2022,2,7,Monday,373220,LG에너지솔루션,520000.0,548000.0,511000.0,548000.0,False,,,,,,,,,,
2022-02-08,8,2022,2,8,Tuesday,373220,LG에너지솔루션,554000.0,577000.0,524000.0,542000.0,False,,,,,,,,,,
2022-02-09,9,2022,2,9,Wednesday,373220,LG에너지솔루션,550000.0,557000.0,505000.0,511000.0,False,,,,,,,,,,
2022-02-10,10,2022,2,10,Thursday,373220,LG에너지솔루션,507000.0,507000.0,471500.0,474500.0,False,,,,,,,,,,
2022-02-11,11,2022,2,11,Friday,373220,LG에너지솔루션,463500.0,484000.0,457000.0,482000.0,False,,,,,,,,,,
2022-02-14,12,2022,2,14,Monday,373220,LG에너지솔루션,473000.0,482000.0,459500.0,463000.0,False,,,,,,,,,,
2022-02-15,13,2022,2,15,Tuesday,373220,LG에너지솔루션,460000.0,468000.0,450000.0,451500.0,False,,,,,,,,,,
2022-02-16,14,2022,2,16,Wednesday,373220,LG에너지솔루션,464000.0,465000.0,449500.0,455500.0,False,,,,,,,,,,
